"src_ssid","dest_ssid","ctl","pid","src_port","dst_port","type","daughter_atmp","daughter_btmp","threev_pltmp","rf_amptmp","nx_tmp","px_tmp","ny_tmp","py_tmp","nz_tmp","pz_tmp","atmelpwrcurr","atmelpwrbusv","threev_pwrcurr","threev_pwrbusv","threev_plpwrcurr","threev_plpwrbusv","fivev_plpwrcurr","fivev_plpwrbusv","daughter_apwrcurr","daughter_apwrbusv","daughter_bpwrcurr","daughter_bpwrbusv","nx_intpwrcurr","nx_intpwrbusv","nx_extpwrcurr","nx_extpwrbusv","px_intpwrcurr","px_intpwrbusv","px_extpwrcurr","px_extpwrbusv","ny_intpwrcurr","ny_intpwrbusv","ny_extpwrcurr","ny_extpwrbusv","py_intpwrcurr","py_intpwrbusv","py_extpwrcurr","py_extpwrbusv","nz_extpwrcurr","nz_extpwrbusv","usercputime","syscputime","idlecputime","processes","memfree","buffers","cached","datafree","nanderasures","beaconcnt","time","boottime","long_dur_counter","adcs_mode","flags","q0_act","q1_act","q2_act","q3_act","x_rate","y_rate","z_rate","gyro_px","gyro_py","gyro_iz","gyro_pz","gyro_ix","gyro_iy","sol_nxx","sol_nxy","sol_nyx","sol_nyy","sol_nzx","sol_nzy","sol_pxx","sol_pxy","sol_pyx","sol_pyy","mag_nxx","mag_nxy","mag_nxz","mag_pxz","mag_pxx","mag_pxy","mag_nyz","mag_pyz","mag_pyx","mag_pyy","wheel_rpm","cam0_status","cam0_temp","cam0_last_contact","cam0_pics_remaining","cam0_retry_fails","cam1_status","cam1_temp","cam1_last_contact","cam1_pics_remaining","cam1_retry_fails","torqx_pwrcurr","torqx_pwrbusv","torqy_pwrcurr","torqy_pwrbusv","torqz_pwrcurr","torqz_pwrbusv","motor_pwrcurr","motor_pwrbusv","pic_panel_flags","motor_cnt","motor_limit","bat0_curr","bat0_volt","bat0_temp","bat0_flags","bat0_ctlflags","bat1_curr","bat1_volt","bat1_temp","bat1_flags","bat1_ctlflags","bat2_curr","bat2_volt","bat2_temp","bat2_flags","bat2_ctlflags","bat3_curr","bat3_volt","bat3_temp","bat3_flags","bat3_ctlflags","bat4_curr","bat4_volt","bat4_temp","bat4_flags","bat4_ctlflags","bat5_curr","bat5_volt","bat5_temp","bat5_flags","bat5_ctlflags","bat6_curr","bat6_volt","bat6_temp","bat6_flags","bat6_ctlflags","bat7_curr","bat7_volt","bat7_temp","bat7_flags","bat7_ctlflags","comm_rxcount","comm_txcount","comm_rxbytes","comm_txbytes"
2,1,3,204,50000,2,1,17.5,17.5,18.0,18.0,37.5,42.5,9.5,50.5,18.5,6.0,0.03515625,4.78125,0.0205078125,3.3125,0.0390625,3.3125,0.609375,4.875,0.0,0.0,0.0,0.0,0.171875,4.8125,3.984375,4.78125,3.984375,4.78125,0.015625,4.78125,0.0,4.8125,0.78125,4.8125,3.984375,4.78125,3.984375,4.78125,0.015625,4.78125,100446,483805,5301593,8632,79280,0,25940,166200,974,8414,1568133457,1568074534,230,2,23,0.65625,-0.3125,0.3359375,0.5859375,0.0078125,-0.0078125,0.0,1.75,-0.25,1.625,1.625,1.625,-0.375,42,120,104,131,42,128,80,83,120,77,38800,5200,15000,27800,6100,23700,1300,12500,-16100,15900,1017,46,4.5,40,6,0,46,5.0,40,2,1,0.046875,-3.0,0.046875,-3.0,1.9453125,-3.0,0.0,0.0,15,135786,135728,0.0,3.875,12.5,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,0.0,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,13.0,165,0,0,11030,0,4643008
2,1,3,204,50000,2,1,17.5,17.5,18.0,19.0,37.0,43.0,9.5,50.0,19.0,6.0,0.0400390625,4.59375,0.02001953125,3.3125,0.03125,3.3125,0.6015625,4.875,0.671875,3.21875,0.0,0.0,0.359375,4.625,0.0,4.65625,3.984375,4.625,0.171875,4.625,0.015625,4.6875,1.0625,4.65625,3.984375,4.625,0.015625,4.625,0.015625,4.625,100468,483908,5302167,8633,79280,0,25944,166200,975,8415,1568133464,1568074534,230,2,23,0.6640625,-0.3203125,0.34375,0.5703125,0.0,-0.0078125,0.0,1.875,-0.125,1.875,1.875,1.5,-0.5,42,118,104,131,42,126,83,80,118,77,38800,5200,15000,27800,6000,23600,1300,12500,-16100,15900,1048,46,4.5,47,6,0,46,5.0,47,2,1,0.046875,-3.0,0.046875,-3.0,1.9453125,-3.0,0.0,0.0,15,135786,135728,-0.0078125,3.84375,13.0,165,0,0.0,3.875,13.0,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,0.0,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,13.0,165,0,0,11033,0,4645080
2,1,3,204,50000,2,1,18.0,18.0,18.5,19.0,37.5,43.5,10.5,50.5,19.0,6.0,0.03515625,4.78125,0.02392578125,3.3125,0.0390625,3.3125,0.609375,4.875,0.0,0.0,0.0,0.0,0.140625,4.8125,0.0,4.8125,3.984375,4.78125,0.0,4.78125,0.0,4.8125,0.8125,4.8125,3.984375,4.8125,3.984375,4.8125,0.015625,4.8125,100493,484021,5302729,8633,79280,0,25944,166200,975,8416,1568133471,1568074534,230,2,23,0.671875,-0.3203125,0.3515625,0.5625,0.0078125,0.0,0.0,0.0,0.0,0.0,2.0,1.5,-0.5,42,115,101,131,42,126,83,77,118,77,38800,5200,14900,27700,5400,24600,1300,12500,-16100,15900,947,46,4.5,54,6,0,46,5.0,54,2,1,0.046875,-3.0,0.046875,-3.0,1.9453125,-3.0,0.0,0.0,15,135786,135728,0.0,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,0.0,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,13.0,165,0,0,11034,0,4645352
2,1,3,204,50000,2,1,18.0,17.5,18.5,19.0,37.0,43.0,11.0,50.5,19.0,6.0,0.03515625,4.78125,0.02734375,3.3125,0.03125,3.3125,0.609375,4.875,0.0,0.0,0.0,0.0,0.140625,4.8125,0.0,4.8125,3.984375,4.78125,0.0,4.78125,0.0,4.8125,0.8125,4.8125,3.984375,4.78125,3.984375,4.78125,0.015625,4.78125,100502,484073,5303367,8634,79280,0,25944,166200,975,8417,1568133478,1568074534,230,2,23,0.671875,-0.3203125,0.359375,0.546875,-0.0078125,0.0,0.0,-1.875,0.125,1.5,1.5,1.375,-0.625,42,115,101,131,42,126,85,77,118,77,38800,5200,14600,27400,5600,23200,1300,12500,-16100,15900,890,46,4.5,61,6,0,46,5.0,61,2,1,0.046875,-3.0,0.046875,-3.0,1.9453125,-3.0,0.0,0.0,15,135786,135728,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,0.0,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,13.0,165,0,0,11035,0,4645624
2,1,3,204,50000,2,1,19.0,19.0,20.5,20.5,35.5,44.5,18.0,48.5,20.5,4.0,0.03369140625,4.71875,0.0205078125,3.3125,0.03125,3.3125,0.609375,4.875,0.0,0.0,0.0,0.0,0.125,4.75,0.0,4.75,3.984375,4.71875,0.0,4.71875,3.984375,4.75,0.84375,4.75,3.984375,4.71875,0.0,4.71875,0.015625,4.71875,100568,484571,5309096,8638,79280,0,25944,166200,977,8426,1568133541,1568074534,230,2,23,0.6796875,-0.390625,0.3671875,0.4921875,0.0,-0.0078125,-0.0078125,1.875,-0.125,-0.375,1.625,1.5,-0.5,39,107,93,131,42,112,88,80,110,77,38800,5200,15800,25400,1900,27500,1300,12500,-16100,15900,793,46,4.5,124,6,0,46,5.0,124,2,1,0.046875,-3.0,0.046875,-3.0,1.9453125,-3.0,0.0,0.0,15,135786,135728,0.0,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.84375,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,13.0,165,0,0.0,3.875,13.0,165,0,0,11046,0,4649872
2,1,3,204,50000,2,1,19.0,19.5,20.0,20.5,35.5,44.0,18.5,48.0,20.0,3.5,0.03662109375,4.71875,0.02392578125,3.3125,0.03125,3.3125,0.5546875,4.90625,0.0,0.0,0.0,0.0,0.109375,4.75,0.0,4.75,3.984375,4.75,0.0,4.75,3.984375,4.75,0.796875,4.75,3.984375,4.75,0.0,4.75,0.015625,4.75,100573,484625,5309736,8639,79280,0,25944,166200,977,8427,1568133548,1568074534,230,2,23,0.6796875,-0.3984375,0.3671875,0.484375,-0.0078125,0.0,0.0,-1.875,0.125,1.75,1.75,1.375,-0.625,39,104,91,131,42,112,88,80,110,77,38800,5200,15500,25100,1000,28200,1300,12500,-16100,15900,835,46,4.5,131,6,0,46,5.0,131,2,1,0.046875,-3.0,0.046875,-3.0,1.96875,-1.4375,0.0,0.0,15,135786,135728,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,13.0,165,0,0,11047,0,4650144
2,1,3,204,50000,2,1,20.5,20.5,21.0,21.0,33.0,44.0,24.5,46.0,20.5,3.0,0.0361328125,4.65625,0.0205078125,3.3125,0.03125,3.3125,0.609375,4.875,0.0,0.0,0.0,0.0,0.125,4.6875,0.0,4.65625,3.984375,4.65625,0.015625,4.65625,3.984375,4.6875,0.84375,4.6875,3.984375,4.65625,0.0,4.65625,0.015625,4.65625,100609,484962,5313557,8641,79280,0,25948,166200,977,8433,1568133590,1568074534,230,2,23,0.6875,-0.421875,0.375,0.4453125,0.0,0.0078125,0.0,0.625,0.625,1.375,1.375,1.25,-0.75,45,99,85,128,45,112,74,85,107,77,38800,5200,15200,23200,-2000,30000,1300,12500,-16100,15900,715,46,4.5,173,6,0,46,5.0,173,2,1,0.046875,-3.0,0.046875,-3.0625,1.9453125,-3.0,0.0,0.0,15,135786,135728,-0.0078125,3.84375,13.0,165,0,-0.0078125,3.875,13.5,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.5,165,0,0,11055,0,4653576
2,1,3,204,50000,2,1,20.5,20.5,21.5,22.0,32.0,43.0,26.5,45.0,20.0,2.5,0.03369140625,4.65625,0.02685546875,3.3125,0.0390625,3.3125,0.53125,4.90625,0.0,0.0,0.0,0.0,0.109375,4.6875,0.0,4.6875,3.984375,4.6875,0.015625,4.6875,3.984375,4.6875,0.78125,4.6875,3.984375,4.6875,0.0,4.6875,0.015625,4.6875,100623,485079,5314825,8644,79252,0,25948,166200,977,8435,1568133604,1568074534,230,2,23,0.6875,-0.4453125,0.3671875,0.4375,0.0,-0.0078125,0.0,1.5,-0.5,1.25,1.25,1.375,-0.625,47,99,85,128,47,104,64,83,107,77,38800,5200,14400,22400,-4100,31100,1300,12500,-16100,15900,680,46,7.5,7,6,0,46,9.5,7,2,1,0.046875,-3.0,0.046875,-3.0625,1.9765625,-0.875,0.0,0.0,15,135786,135728,0.0,3.84375,13.5,165,0,-0.0078125,3.875,13.5,165,0,-0.0078125,3.875,13.5,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,12.5,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.5,165,0,0,11059,0,4655920
2,1,3,204,50000,2,1,21.0,20.5,22.0,21.5,32.0,43.0,27.0,44.5,20.0,2.0,0.03662109375,4.625,0.01953125,3.3125,0.03125,3.3125,0.609375,4.875,0.0,0.0,0.0,0.0,0.125,4.625,0.0,4.625,3.984375,4.625,0.03125,4.625,3.984375,4.65625,0.84375,4.65625,3.984375,4.625,0.0,4.625,0.015625,4.625,100627,485137,5315462,8645,79252,0,25948,166200,977,8436,1568133611,1568074534,230,2,23,0.6796875,-0.453125,0.3671875,0.4375,0.0,-0.0078125,0.0,1.625,-0.375,1.125,1.125,1.5,-0.5,47,99,85,128,50,104,61,83,107,80,38800,5200,15700,22100,-3600,31600,1300,12500,-16100,15900,768,46,7.5,14,6,0,46,9.5,14,2,1,0.046875,-3.0,0.046875,-3.0,1.9453125,-3.0,0.0,0.0,15,135786,135728,0.0,3.84375,13.5,165,0,-0.0078125,3.875,13.5,165,0,-0.0078125,3.84375,13.5,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,0.0,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.5,165,0,0,11060,0,4656192
2,1,3,204,50000,2,1,21.0,21.0,21.5,21.5,31.5,43.0,28.0,44.0,20.5,2.0,0.0361328125,4.59375,0.01953125,3.3125,0.0390625,3.3125,0.609375,4.875,0.0,0.0,0.0,0.0,0.125,4.625,0.0,4.625,3.984375,4.625,0.03125,4.625,3.984375,4.625,0.859375,4.625,3.984375,4.625,0.0,4.625,0.015625,4.625,100635,485190,5316100,8645,79252,0,25948,166200,977,8437,1568133618,1568074534,230,2,23,0.6875,-0.4609375,0.359375,0.421875,-0.0078125,-0.0078125,0.0,-0.25,-0.25,1.875,1.875,-0.375,-0.375,47,96,83,128,50,107,61,83,107,80,38800,5200,15600,22000,-4700,32100,1300,12500,-16100,15900,810,46,7.5,21,6,0,46,9.5,21,2,1,0.046875,-3.0,0.046875,-3.0,0.0546875,3.0625,0.0,0.0,15,135786,135728,0.0,3.875,13.5,165,0,-0.0078125,3.875,13.5,165,0,-0.0078125,3.875,13.5,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.0,165,0,-0.0078125,3.875,13.5,165,0,0,11061,0,4656464
